t_enc_us,enc_deg,t1_us,y1,t2_us,y2,t3_us,y3,t4_us,y4,t5_us,y5,t6_us,y6,t7_us,y7,t8_us,y8,t9_us,y9,t10_us,y10,t11_us,y11,t12_us,y12,t13_us,y13,t14_us,y14,t15_us,y15,t16_us,y16
144830,67.86,145597,173.8479632,146082,179.5978353,146604,178.1054624,147115,176.2742747,147632,175.9904902,148136,174.3117672,148643,174.9745619,149190,175.5260367,149664,174.192487,150178,178.1754602,150696,174.119637,151218,178.9509377,151722,176.8386047,152218,174.6897918,152734,177.1007276,153227,175.7036878
153477,69.372,154231,175.9840336,154719,181.8707273,155213,180.5060328,155715,178.4126311,156211,178.5470548,156714,176.1990037,157199,176.5486196,157699,177.3795644,158193,176.2172106,158691,180.305487,159195,175.8461561,159700,180.8102762,160204,178.6220793,160713,176.231819,161212,178.9763296,161721,177.1465539
161971,70.884,162720,177.2252541,163210,183.2803893,163691,181.5935782,164188,179.3234415,164674,179.8254977,165221,177.249693,165748,177.7327448,166256,178.6497854,166777,177.3273855,167271,181.7258717,167763,177.0468492,168274,182.0369064,168806,179.825805,169316,177.5283925,169840,180.3176765,170324,178.7644533
170574,72.414,171367,178.7696222,171866,184.7160508,172356,183.0448427,172847,180.8562256,173359,181.2486671,173865,178.8193072,174403,179.4899767,174929,180.1853865,175441,179.0548391,175918,183.0703701,176428,178.5190991,176922,183.4754475,177413,181.213585,177878,178.8500314,178378,181.4211008,178866,179.8681892
179116,73.98,179822,180.0464857,180335,186.0247698,180830,184.2052009,181339,182.1175538,181825,182.6233906,182344,179.989928,182877,180.7976402,183384,181.4320179,183866,180.0393618,184355,184.2398634,184870,179.7414651,185354,184.4870724,185842,182.4828169,186327,180.368786,186833,182.9311862,187332,181.7217723
187582,75.528,188340,181.4985161,188862,187.6914608,189366,185.8130002,189885,183.6738734,190391,184.0824507,190837,181.5873958,191302,181.915947,191813,182.8391072,192306,181.3537496,192801,185.5524119,193268,181.0613891,193787,186.1536172,194332,183.7202131,194820,181.3627213,195313,184.3931735,195794,182.7653717
196044,77.076,196792,182.5168571,197300,188.499892,197816,186.8300928,198346,184.5387822,198864,184.8163623,199338,182.4196281,199841,182.8970361,200319,183.7116507,200826,182.3664896,201346,186.4140517,201851,182.1294942,202346,186.8825428,202865,184.7124104,203364,182.1688472,203853,184.8175015,204355,183.511098
204605,78.66,205367,183.4338151,205885,189.2036791,206329,187.8169463,206831,185.5627475,207336,186.1142886,207861,183.2665964,208408,184.073647,208900,184.7259536,209388,183.3035953,209906,187.5391823,210412,182.6662336,210912,187.7220429,211420,185.5094066,211938,182.9447111,212475,185.672939,212988,184.1989314
213238,80.244,213982,184.0940379,214500,190.0906267,214970,188.3148266,215475,185.9329948,215973,186.4553415,216488,183.9539333,216967,184.5644295,217517,185.1165383,218007,183.7776062,218507,187.7776585,219000,183.5482015,219510,188.424954,220002,186.0431385,220501,183.5706599,221011,186.4606562,221497,184.7414285
221747,81.828,222494,184.8508594,222999,190.9839082,223508,189.1619865,224013,186.7160729,224515,187.1517017,225018,184.7051842,225472,185.2696848,225984,186.0060936,226491,184.737356,226991,188.7117194,227467,184.2532655,227993,189.4048506,228497,187.0286926,228952,184.4928027,229445,187.3307982,229935,185.9221018
230185,83.394,230933,185.8070295,231432,191.7695503,231931,190.2818575,232409,188.0085974,232896,188.4027255,233427,185.7834858,233910,186.0724409,234409,187.0283607,234950,185.7132304,235435,189.7533065,235932,185.1484123,236442,189.8321957,236949,187.9141395,237445,185.5846408,237947,188.4506354,238459,186.8982227
238709,85.014,239494,186.7814698,239994,193.0618389,240479,191.0424922,240954,188.7088827,241458,188.7623243,241944,186.3188774,242441,186.9759432,242954,187.8749745,243471,186.4619015,243951,190.8588617,244457,185.8125298,244948,190.8790736,245403,188.4566094,245892,186.1376072,246393,188.9807464,246851,187.260231
247101,86.58,247838,187.2835655,248348,193.4019164,248878,191.4902227,249364,189.064854,249905,189.3899935,250395,186.6819261,250874,187.1333743,251373,188.1295096,251870,186.8959954,252325,191.0035414,252847,186.3715677,253358,191.0823147,253892,189.032886,254396,186.428395,254896,189.2420632,255419,187.6646543
255669,88.218,256414,187.4713054,256912,193.5485514,257412,191.8067433,257931,189.3924003,258413,189.6477929,258943,187.3271772,259441,187.8781563,259955,188.6553048,260466,187.3977164,260942,191.4303218,261435,186.6923407,261908,191.643401,262455,189.4823731,262939,186.9595973,263477,189.7793208,263992,188.3092291
264242,89.82,264998,188.3806836,265504,194.6545102,265970,192.5002698,266466,190.2037854,266992,190.4529654,267519,188.0806928,268014,188.8059279,268510,189.4403794,269015,187.9955913,269522,192.258031,270029,187.5693875,270488,192.2896813,270965,190.2700853,271477,187.6643317,271983,190.455704,272489,188.7299364
272739,91.44,273489,188.8213447,274004,194.6926205,274510,193.0509981,275005,190.6929961,275511,190.9186338,276025,188.5896523,276499,189.1108334,277004,189.9318703,277507,188.4872845,278022,192.5578331,278517,188.1405513,279025,193.1992686,279552,190.8891485,280070,188.183887,280572,191.0009366,281097,189.7377343
281347,93.096,282121,189.4779794,282594,195.6494598,283091,193.7268729,283595,191.392829,284122,192.3013281,284644,189.5847749,285149,189.8162322,285615,190.7404479,286111,189.3722789,286596,193.4425962,287104,188.8472088,287595,193.3070799,288097,191.2678268,288613,188.5570796,289134,191.1759729,289652,189.4887868
289902,94.716,290642,189.573848,291121,195.3470893,291628,193.7412909,292133,191.4394072,292671,191.8360144,293138,189.5096429,293613,189.9558822,294155,190.8295714,294682,189.4121129,295167,193.7239758,295679,189.0306901,296223,193.963362,296688,191.6819054,297166,188.8890084,297671,191.8041634,298187,190.3182575
298437,96.354,299167,189.9796524,299634,195.9858595,300132,194.2694593,300651,192.0966493,301130,192.2058283,301643,189.8928567,302110,190.3285662,302608,191.3381577,303099,190.2261668,303600,194.3285878,304087,189.4917953,304605,194.433432,305094,191.8390486,305569,189.3822452,306111,192.153787,306616,190.8422038
306866,97.974,307635,190.654191,308131,196.4721814,308606,195.2672879,309065,192.6325622,309578,193.0929679,310094,190.2427337,310591,190.5722137,311085,191.6063433,311582,190.213658,312092,194.2103372,312582,189.8237601,313043,194.6531147,313543,192.4581592,314056,189.9233319,314535,192.75819,315027,190.9802658
315277,99.576,316018,191.2267007,316508,197.3973141,317018,195.4425452,317530,193.4124027,318013,193.6404784,318523,190.9884698,319003,191.5228352,319511,192.3920983,320000,191.0086464,320504,194.972629,321034,190.3528461,321534,195.3717189,322026,193.3675959,322537,190.6161639,322998,193.5810427,323492,192.2821829
323742,101.214,324506,192.0290779,325028,197.8924178,325543,196.5078226,326058,193.9677855,326577,194.4979873,327103,191.9410523,327583,192.4847031,328118,193.2136409,328619,191.8333078,329151,196.0220466,329677,191.0643326,330178,196.2962935,330654,194.0841225,331142,191.4002495,331638,194.1535709,332121,192.2595385
332371,102.888,333104,192.249799,333581,198.3810492,334069,196.5147566,334570,194.2025742,335064,194.1000124,335604,191.450467,336128,191.9805807,336631,192.9205551,337128,191.6240277,337619,195.7999331,338135,191.1399386,338601,195.7620792,339109,193.7872468,339632,191.1310037,340136,193.9366562,340634,192.5299239
340884,104.526,341644,192.2487512,342170,198.2046879,342653,196.3600672,343170,194.0134988,343670,194.4489661,344156,191.8603536,344655,192.2942556,345134,192.9781114,345655,191.638743,346169,196.0950429,346633,190.9428097,347166,195.9654366,347684,193.7361923,348203,190.994516,348736,194.1685725,349223,192.3138839
349473,106.182,350254,192.1917378,350757,198.0761197,351269,196.4939161,351777,194.4006517,352295,194.6042357,352838,192.0457345,353353,192.7970821,353878,193.4583759,354361,192.1712316,354888,196.2410217,355415,191.268519,355915,196.2692456,356436,194.0247974,356958,191.3022015,357432,194.3861602,357947,192.8226222
358197,107.892,358991,192.7178544,359498,198.8035311,359991,197.1623166,360483,194.6137208,360977,194.5844435,361478,192.6075226,361991,192.8210709,362514,193.7463459,363042,192.363067,363550,196.6340276,364087,191.7593904,364576,197.043322,365046,194.4637446,365530,191.7690871,366049,194.8729236,366566,192.9629197
366816,109.566,367583,193.0396546,368100,198.9929687,368581,197.3862643,369120,194.8220731,369596,195.0052085,370110,192.5808801,370584,192.7040652,371112,193.8880399,371596,192.3566198,372098,196.7433846,372569,191.7047486,373060,196.9250879,373559,194.6719552,374060,191.83984,374565,194.8756821,375058,193.2848174
375308,111.222,376064,193.1322561,376561,199.2326151,377069,197.4725572,377596,195.0805455,378068,195.1621199,378573,192.8020479,379083,193.3878381,379583,194.4096082,380073,193.2654928,380608,197.532443,381115,192.5636095,381624,197.6901375,382115,195.1975932,382569,192.5718735,383062,195.4667204,383577,193.9770006
383827,112.878,384582,193.5543973,385118,199.8417825,385636,198.0578053,386171,195.6904498,386677,196.339361,387167,193.9364712,387674,194.1691452,388199,195.1771193,388691,193.5854182,389175,197.8534571,389675,193.2654327,390175,198.2505618,390692,195.8429309,391184,192.943636,391670,195.8895925,392183,193.8600026
392433,114.57,393170,193.9794986,393696,200.1916574,394203,198.2767765,394676,195.6516326,395197,195.8630113,395727,193.5880551,396221,194.0972331,396734,195.0103348,397184,193.6322983,397674,197.6936254,398161,192.9614544,398635,197.8813916,399148,195.7697256,399641,193.1018495,400106,196.4123797,400585,194.3711658
400835,116.208,401598,194.4006867,402074,200.559782,402585,198.725724,403098,196.4694773,403570,196.6707866,404094,194.004156,404587,194.5660285,405076,195.6288452,405564,194.2174292,406051,198.3870661,406524,193.2002967,407046,198.2887607,407563,196.0071276,408071,193.0354121,408575,196.2060557,409081,194.5845239
